WELL_NAME,LAT,LONG,X,Y
Supplejack-1,-39.160172499999994,174.23115149999998,415005.272386177,411576.52687207726
Tariki-2B,-39.1994752,174.365528,426576.1260712713,407175.4169038947
Kapuni-8,-39.4313021,174.18048269999997,410595.58920432033,381435.4762940605
Kapuni-1,-39.472413700000004,174.17548290000002,410160.2005022152,376864.62974716513
Radnor-1,-39.2998848,174.26682340000002,418044.86762169655,396034.75166985136
Amokura-2H,-39.423269399999995,173.21245280000002,327448.28369890054,381997.4277358097
McKee-9,-39.097250700000004,174.3317878,423703.2175403597,418551.5929642702
Toetoe-5,-39.1237907,174.31400730000001,422160.4617336415,415604.98701067775
Clematis-1,-39.13726079999999,174.2494322,416586.8219130953,414121.00075004116
Surrey-2,-39.241912,174.218085,413862.5346952956,402489.6059707123
Cheal B-3,-39.3754783,174.3074605,421518.32128206047,387620.28171382955
Inglewood-1,-39.211020899999994,174.1929801,411705.69818323455,405928.07937150757
Wharehuia-1,-39.29266,174.345815,424844.4114161856,396819.397899089
Kapuni-6,-39.4946362,174.1857608,411038.8949114609,374392.38246134814
Toetoe-2,-39.1024069,174.3315904,423684.44443387113,417978.3018916459
Kauri-F6,-39.7065,174.4029944,429589.20091410103,350785.1125167928
McKee-11,-39.090258299999995,174.332875,423799.4066540714,419328.8266174404
Makara-1,-39.1343575,174.31509069999998,422250.57097213215,414429.74874307134
MB-N(5),-39.645179299999995,173.31585280000002,336531.5988454175,357400.51691131975
McKee-16,-39.0899261,174.3333125,423837.27748503623,419365.65044675185
Cheal-A6 ST1,-39.386834,174.304119,421227.6606103135,386358.37711407454
Mako-1,-39.2651278,174.3401583,424367.1920715737,399882.3597749386
Kora-3,-38.3712881,173.8563019,382491.6122543598,499295.43628595985
Kora-4,-38.386844399999994,173.8029685,377846.45951411064,497553.77214086807
Maui South-1,-39.621907,173.4562274,348533.39947979344,360077.37026848196
Kaimiro-5ST1,-39.1678722,174.15087219999998,408082.80625517876,410730.5962657079
Witiora-1,-39.111576,173.4752001,349793.64842661656,416833.2836144215
Kapuni-7,-39.472413700000004,174.1760384,410207.88197519985,376864.56725626916
Kaimiro-7ST1,-39.1660804,174.1691945,409662.6058672647,410928.0396403432
Kowhai-A1R,-39.0554389,174.282071,419424.42031741387,423212.70085419953
Toetoe-3,-39.1143516,174.3240905,423033.36566491536,416652.04866686225
McKee-2A,-39.0940973,174.3333814,423841.80844840436,418901.81630442373
Toetoe-4,-39.1238527,174.3140032,422160.0884916687,415598.0939391143
Cheal B-2,-39.3755144,174.30748549999998,421520.459031475,387616.26164398715
Makara-1B,-39.1343575,174.31509069999998,422250.57097213215,414429.74874307134
Toko-2A,-39.3167243,174.3536186,425507.19129789894,394141.4142237345
McKee-8,-39.0940734,174.3338125,423879.0203224088,418904.3602376604
Pohokura-1,-38.946944,174.291245,420247.77051637066,435274.85765608825
MA-02A,-39.5549,173.44949169999998,347906.47846377833,367524.3063395173
Tauteka-1,-39.1146294,174.30686819999997,421547.4306741128,416625.3992941619
Tariki-2C,-39.1994752,174.365528,426576.1260712713,407175.4169038947
McKee-1,-39.1024652,174.3318404,423705.9971071281,417971.75379893347
McKee-6,-39.1024069,174.3321459,423732.3781866283,417978.1564130678
Karaka-A1,-39.028416,174.250893,416738.7179488696,426223.75074772787
Kupe South-7ST1,-39.850922499999996,174.119978,405366.6957391616,334780.0797700983
Hihi-1,-39.214909000000006,174.25613700000002,417146.1077116697,405485.6789868238
Crusader-1,-39.1189436,174.09571269999998,403329.86146833823,416174.6937644533
Kahu-1,-39.4324222,173.2901417,334129.7817883485,381039.11390080623
Toetoe-5A,-39.1237907,174.31400730000001,422160.4617336415,415604.98701067775
MR2P1-UL,-39.9858028,173.29375,334958.5425122562,319508.7364727373
Kiwi-1,-39.4345108,173.1549113,322518.4051077292,380699.81296770944
Kora-2,-38.359621399999995,173.8485239,381810.4774807392,500591.33569358033
Republic New Plymouth-1,-39.060327799999996,174.0443972,398901.98501439794,422693.1336054028
Goldie-1,-39.184926399999995,174.1689726,409640.886218161,408832.4837689237
Amokura-1,-39.418683,173.207731,327037.93441929703,382503.5966437425
Maketawa-1,-39.199237100000005,174.22935230000002,414841.8833817823,407233.0432964351
Pouri-1,-39.0808229,174.33359769999998,423864.98303546355,420377.80470923736
Tariki-4A,-39.2177627,174.35044130000003,425269.51520387916,405146.27094389446
McKee-10,-39.0979207,174.33144040000002,423673.0126514108,418477.18332730513
Te Popo-1,-39.3028028,174.36047219999998,426101.966810759,395687.4520942458
Radnor-1A,-39.2998848,174.26682340000002,418044.86762169655,396034.75166985136
MR3P8,-39.9858444,173.2939639,334976.8061467965,319504.26421951904
Wingrove-2,-39.3636919,174.4011744,429578.3779722542,388904.4171205106
Piakau North-A1,-39.2976652,174.3358815,423987.86357703194,396265.5270843588
Te Kiri-2,-39.3760944,173.8625361,383275.31104785355,387563.5539221083
Pukemai-1,-39.0735124,174.34209850000002,424601.296026547,421188.41974047653
Ohanga-2 ST1,-39.02697070000001,174.35223440000001,425493.14684989356,426360.82356261427
Tipoka-1A,-39.3237583,173.7737406,375624.8274142522,393362.8906497836
Kahili-1,-39.183052,174.3687407,426859.2507955504,409000.6351894108
Cheal-A6,-39.386834,174.304119,421227.6606103135,386358.37711407454
Pohokura South-1B,-38.9858341,174.3024331,421203.60372169607,430947.87312702375
MR5P12,-39.985833299999996,173.29367580000002,334952.2491505598,319505.29156755446
Bluff-1,-39.12326029999999,174.3354459,424010.0039892698,415658.49776663893
Pateke-2,-39.3793961,173.19348019999998,325772.1524767585,386860.3300963173
Ngatoro-3,-39.1846093,174.1883769,411313.3618691378,408865.49796156684
Kahili-1B,-39.183052,174.3687407,426859.2507955504,409000.6351894108
Turangi-3,-39.0092722,174.3147972,422264.84705155017,428338.6899666583
Kupe South-2,-39.840193,174.1065914,404224.52888978325,335973.91562443186
Supplejack South-1,-39.1601521,174.2311095,415001.65556184395,411578.802207783
Ngatoro-4,-39.193014,174.1756345,410213.8870547595,407932.45350833714
Oakura-1,-39.143211,173.9229358,388428.4937840158,413468.41039599746
Kupe South-3B,-39.8454153,174.12620269999996,405898.5679784236,335392.09659816517
Ngatoro-11,-39.1949222,174.1848583,411008.4800701811,407719.1903341788
Kupe South-5,-39.9137222,174.14673059999998,407643.66159096465,327794.7473908993
Cardiff-2,-39.3675111,174.2812611,419268.569516937,388512.09396791493
MA-10A,-39.554852399999994,173.4494741,347904.9340529658,367529.58903661213
Taranga-1,-38.9735369,173.27353369999997,332261.812551853,432050.84627014387
Mangahewa-04,-39.0803366,174.28503840000002,419673.6767449844,420443.5558129691
Tane-1,-38.9372302,172.63908419999999,277355.8090251801,435420.62384447537
Kapuni Deep-1,-39.48549439999999,174.1724833,409900.87550693756,375410.44630986894
Totara-1,-39.1619858,174.32503549999998,423099.2197066697,411355.13911763043
MR9P6,-39.9858417,173.2939639,334976.80361574714,319504.56445889303
Rahi-1,-39.7164729,173.3434684,338958.5497157674,349492.0702632095
Kupara-1,-39.217713700000004,174.350394,425265.45807173854,405151.73266782204
Cheal-B1,-39.3755583,174.3075222,421523.6000408946,387611.3714735648
PWW-01,-38.9890591,174.27470559999998,418806.1795554764,430595.3938042196
POB-04A,-38.9121222,174.2717111,418567.64832687547,439151.10525358166
